       n1                       T1                     n2                         T2                           n3                    T3

ATTENTION : Les températures ne sont pas classées par ordre croissant !

[8.37638208e+04 2.16839478e+02 5.98270749e+06 4.58259126e+01 3.55304623e+05 5.72882012e+03]
[2.39615943e+05 1.97551879e+02 1.98157884e+04 1.25468477e+03 2.47282039e+05 6.32736908e+03]
[2.61413530e+05 5.34403771e+03 4.00701917e+04 1.27472551e+03 1.82874438e+05 1.39009399e+02]
[12177.2061544    593.13456827 82331.68191556  8199.32492343 65286.20807472    88.55309863]
[1.20546005e+05 9.88767325e+01 1.51475431e+04 5.84211057e+02 1.07717057e+05 6.57374626e+03]
[ 8221.58010889   647.21033315 32228.87805413    76.5339325 69663.74884192  7171.75671438]
[1.50669685e+04 3.58597418e+02 3.87077230e+04 1.14898122e+02 1.15232597e+05 3.70019596e+03]
[1.68862017e+04 3.29282942e+02 1.26230701e+05 4.52761205e+03 1.94864795e+05 6.35923916e+01]

[2.27618984e+06 3.29999372e+01 6.14750140e+04 1.72584856e+02 2.11848819e+05 6.29673146e+03]
[3.09602392e+05 8.21762410e+03 4.79782185e+05 7.46491981e+01 3.17300119e+04 3.80340463e+02]
[2.94776432e+06 6.01732042e+01 1.17520963e+05 3.96615239e+02 2.27823390e+05 4.92743835e+03]
[3.02074349e+05 7.65206620e+03 6.79694652e+04 4.91611000e+02 1.95261465e+05 1.24119466e+02]
[4.21681527e+06 5.71218426e+01 7.99877480e+04 3.93301882e+02 2.18123062e+05 4.47158923e+03]

[1.76325554e+05 8.81307886e+01 4.33718242e+04 4.63882895e+02 7.86686439e+04 8.52892062e+03]
[6.04548587e+07 4.15714596e+01 1.82292291e+05 2.40433556e+02 1.02885236e+05 3.67088332e+03]
[1.42860366e+06 8.54943358e+01 1.53088394e+05 2.86348329e+02 6.72150358e+04 1.85033371e+03]
[1.88553593e+05 8.96500514e+01 3.62778915e+05 6.30937499e+02 1.69748373e+05 3.87722945e+03]
[1.36917070e+06 1.14505983e+02 4.06912296e+05 3.56535153e+02 4.36843849e+05 1.12663761e+03]


[1.00451938e+05 1.95124071e+02 3.93729943e+05 3.92637157e+01 5.21169369e+05 4.37774944e+03]


